GEOID,NAME,male,medage,pop,black,asian,pacific,latino,commute_hr1,commute_hr2,medrent,medincome
23306,ZCTA5 23306,415,46.4,776,144,0,0,29,0,0,917,69125
23316,ZCTA5 23316,208,42.3,440,227,0,0,9,0,0,883,44524
23320,ZCTA5 23320,27095,36.8,56765,17200,3040,26,3951,675,411,1360,73321
23324,ZCTA5 23324,10937,31.6,24126,14558,334,7,1805,238,153,968,42027
23354,ZCTA5 23354,77,66.8,149,10,0,0,0,0,0,NA,NA
23359,ZCTA5 23359,417,35.9,1128,554,0,0,31,25,20,731,39386
23416,ZCTA5 23416,61,62.6,253,126,0,0,0,0,0,NA,NA
23418,ZCTA5 23418,454,41.5,1100,177,6,0,156,0,9,807,54313
23420,ZCTA5 23420,2122,29.5,3856,2174,0,0,187,0,38,694,41310
23432,ZCTA5 23432,714,53,1473,410,14,0,8,38,0,1058,78958
23437,ZCTA5 23437,2025,48.1,4175,859,18,0,87,453,14,749,65962
23438,ZCTA5 23438,945,43.2,1771,462,0,0,29,130,133,744,65395
23423,ZCTA5 23423,141,57.8,303,0,0,0,0,0,0,881,58906
23433,ZCTA5 23433,586,59.2,1129,125,31,0,94,27,0,1055,82383
23442,ZCTA5 23442,391,39.7,915,563,0,0,42,0,5,824,40797
23455,ZCTA5 23455,25869,36.1,49703,6700,2282,32,4405,969,154,1430,74100
23461,ZCTA5 23461,315,21.8,430,72,0,0,83,0,0,NA,NA
23488,ZCTA5 23488,147,41,321,274,6,0,6,0,0,NA,44019
23504,ZCTA5 23504,10252,27.9,23058,19305,189,0,627,385,327,787,30122
23517,ZCTA5 23517,2506,36.1,4421,1200,240,0,281,17,143,1044,51583
23669,ZCTA5 23669,19836,34.7,41669,19894,806,85,1650,817,237,1010,53574
23692,ZCTA5 23692,8461,44.4,18201,1467,741,0,616,352,43,1402,86289
23703,ZCTA5 23703,12445,36.7,25941,12370,414,0,1206,251,185,1134,66614
23832,ZCTA5 23832,17966,36.7,36849,9546,943,0,3821,568,316,1310,87141
23840,ZCTA5 23840,1459,38.4,2889,649,51,10,17,49,0,1250,63113
23845,ZCTA5 23845,229,54.8,457,89,0,0,0,23,17,NA,41371
23847,ZCTA5 23847,8785,39.9,15334,9802,22,0,540,244,53,720,33591
23856,ZCTA5 23856,506,50.2,910,645,5,0,0,5,17,NA,46910
23874,ZCTA5 23874,366,54.3,831,225,0,0,0,10,19,919,49750
23917,ZCTA5 23917,1610,52.5,2917,1323,9,0,95,93,30,425,44056
23893,ZCTA5 23893,93,58.7,222,63,0,0,0,0,0,NA,60699
23897,ZCTA5 23897,158,52.6,403,168,0,0,0,24,18,NA,30917
23899,ZCTA5 23899,175,56.9,323,61,0,0,6,31,1,825,37500
23920,ZCTA5 23920,1465,49.5,3096,1576,0,0,35,24,138,832,46827
20510,ZCTA5 20510,0,NA,0,0,0,0,0,0,0,NA,NA
20520,ZCTA5 20520,0,NA,0,0,0,0,0,0,0,NA,NA
20535,ZCTA5 20535,0,NA,0,0,0,0,0,0,0,NA,NA
20540,ZCTA5 20540,0,NA,0,0,0,0,0,0,0,NA,NA
20551,ZCTA5 20551,0,NA,0,0,0,0,0,0,0,NA,NA
20553,ZCTA5 20553,0,NA,0,0,0,0,0,0,0,NA,NA
20560,ZCTA5 20560,0,NA,0,0,0,0,0,0,0,NA,NA
20565,ZCTA5 20565,0,NA,0,0,0,0,0,0,0,NA,NA
20566,ZCTA5 20566,0,NA,0,0,0,0,0,0,0,NA,NA
20593,ZCTA5 20593,0,NA,0,0,0,0,0,0,0,NA,NA
20660,ZCTA5 20660,0,NA,26,0,0,0,0,0,0,NA,NA
20686,ZCTA5 20686,790,20.4,1471,164,70,0,68,0,0,NA,NA
20742,ZCTA5 20742,3487,19,6719,841,1228,0,254,36,0,NA,NA
20899,ZCTA5 20899,109,44.7,260,190,9,0,32,21,0,846,35060
20612,ZCTA5 20612,177,82.3,358,0,0,0,0,40,0,NA,NA
20707,ZCTA5 20707,15600,37.5,32556,14596,3031,0,5048,1748,828,1501,79754
20019,ZCTA5 20019,27627,34.1,62625,59657,118,12,1784,2628,1184,993,36398
20017,ZCTA5 20017,9524,37,20450,12556,558,10,1827,561,69,1529,77560
20109,ZCTA5 20109,20185,30.8,40717,6941,3608,3,15640,3453,1305,1625,70629
20137,ZCTA5 20137,727,48.6,1534,45,7,10,25,90,34,1500,133250
20139,ZCTA5 20139,124,54.9,203,0,0,0,0,20,22,NA,NA
20141,ZCTA5 20141,3582,36.2,7064,39,163,4,317,488,140,1475,144971
20147,ZCTA5 20147,31037,35.5,64197,5093,11533,63,8224,3620,1286,1846,130507
20158,ZCTA5 20158,2329,42.1,4448,59,206,17,204,301,112,1659,172708
20187,ZCTA5 20187,8855,41.3,17713,1309,226,17,996,1602,728,1808,126532
20880,ZCTA5 20880,227,53.9,455,48,15,0,7,15,9,1500,110707
20903,ZCTA5 20903,13234,33.6,26206,7538,2785,0,12549,1922,548,1506,66343
20197,ZCTA5 20197,1045,42.1,2231,0,58,0,63,69,76,NA,149545
20008,ZCTA5 20008,13626,38.3,29457,2334,1617,11,3753,1042,120,1940,117195
20009,ZCTA5 20009,26887,33.6,52117,9823,3063,57,8003,1560,424,1794,107128
20611,ZCTA5 20611,902,45.7,1535,362,22,0,42,110,98,859,96944
20616,ZCTA5 20616,3043,37.4,6106,3136,289,0,717,880,378,1719,91496
20619,ZCTA5 20619,6623,33.3,13533,1123,290,13,1610,222,251,1547,93011
20620,ZCTA5 20620,560,46.3,1365,252,0,0,17,0,62,1400,103016
20629,ZCTA5 20629,143,40,374,0,0,0,0,0,14,NA,NA
20640,ZCTA5 20640,4946,36.2,10018,4358,346,0,608,837,611,1543,67783
20678,ZCTA5 20678,6120,40.2,12418,2530,268,0,785,1206,500,923,90885
20688,ZCTA5 20688,801,70,1739,26,0,0,12,0,59,2252,88661
20705,ZCTA5 20705,13386,38.2,27873,11429,2702,58,8006,1805,664,1572,86260
20714,ZCTA5 20714,2190,40.9,4622,240,118,0,266,580,167,1671,90345
20733,ZCTA5 20733,1350,43.7,2788,345,138,0,30,345,31,1754,104662
20736,ZCTA5 20736,4842,43.6,9491,1109,235,0,196,1323,225,1280,140125
20744,ZCTA5 20744,26893,43.3,54453,38855,3300,32,7155,5319,1509,1538,102062
20747,ZCTA5 20747,18032,36.2,39946,35963,306,6,2478,3126,1137,1313,63261
20772,ZCTA5 20772,21632,41.9,44948,35866,522,0,2387,5034,951,1811,107838
20003,ZCTA5 20003,16185,33.9,31213,8682,866,17,1873,774,153,2037,126323
20004,ZCTA5 20004,1030,40.7,1975,98,238,0,246,9,0,2597,147522
20005,ZCTA5 20005,6589,33.7,13222,2150,1129,17,2486,269,42,1885,94611
20016,ZCTA5 20016,15597,37.7,34783,2328,2566,0,3597,647,193,1925,150997
20111,ZCTA5 20111,18310,34.9,35797,3591,3407,4,12871,3003,1347,1593,88207
20115,ZCTA5 20115,3270,40.5,6911,697,82,0,606,667,259,1386,107462
20169,ZCTA5 20169,12527,38.8,24848,2150,1896,0,1848,2274,1123,2328,145332
20176,ZCTA5 20176,26494,37,53017,4249,5947,23,9252,3038,1375,1665,128167
20319,ZCTA5 20319,42,21.7,42,6,13,0,3,0,0,NA,NA
20685,ZCTA5 20685,3428,45.1,6731,771,45,0,291,798,480,1676,98826
20622,ZCTA5 20622,3624,40.6,6301,999,106,0,213,474,292,1071,105292
20634,ZCTA5 20634,3613,31.9,7334,2015,237,0,210,211,178,1244,92556
20658,ZCTA5 20658,417,39.1,875,141,17,0,96,20,87,1455,69630
20701,ZCTA5 20701,0,NA,0,0,0,0,0,0,0,NA,NA
20724,ZCTA5 20724,8259,35.1,17736,8762,1080,11,2215,1228,562,1839,103179
20740,ZCTA5 20740,16989,26.2,31848,6548,4900,25,5652,1537,841,1504,67163
20748,ZCTA5 20748,17687,39.9,38011,32640,140,17,2915,2771,1204,1310,68033
20817,ZCTA5 20817,17363,46,36681,1511,5428,0,3430,1298,328,1976,187731
20854,ZCTA5 20854,23941,47.4,49194,2655,11461,32,3556,2351,536,2752,206040
20868,ZCTA5 20868,381,39.4,864,162,226,0,266,38,19,NA,212422
20901,ZCTA5 20901,17815,37.6,36154,9260,2598,13,7840,2522,653,1552,108357
20910,ZCTA5 20910,20746,35.5,42868,13506,2942,20,5805,2379,411,1709,84645
20032,ZCTA5 20032,19488,29.9,42930,37713,142,0,1484,2216,1252,1086,37711
20036,ZCTA5 20036,2735,33.4,5798,219,479,35,455,176,0,1922,88553
20117,ZCTA5 20117,1054,51.8,2386,333,24,2,137,163,41,895,88200
20007,ZCTA5 20007,12802,34.6,27562,1508,1911,14,3076,545,112,1897,130920
